"page_title","url","description","found_at_url","found_in_google_analytics","found_in_google_search_console","found_in_backlinks","found_in_list","found_in_log_summary","found_in_web_crawl","found_in_sitemap","topic_similarities"
"Sourcewell Contact Information & Driving Directions | Sourcewell","https://www.sourcewell-mn.gov/contact-sourcewell","Questions or comments? Contact Sourcewell today at 888-894-1930 for information on available programs and contracts, membership, events, and more. Contact us form and driving directions available.","https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":16,""topic_type"":""user"",""topic_name"":""Sustainability and Environmentally Responsible Purchasing Through Cooperative Contracts"",""cosine_similarity"":0.607},{""slot_no"":17,""topic_type"":""user"",""topic_name"":""Leveraging Cooperative Contracts for Strategic Impact"",""cosine_similarity"":0.55},{""slot_no"":8,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing for K–12 Schools and Higher Education Institutions"",""cosine_similarity"":0.498},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.439}]"
"Supplier Opportunities and Advantages I Sourcewell for Suppliers","https://www.sourcewell-mn.gov/sourcewell-for-vendors","Over $3 billion in annual purchases were made using Sourcewell awarded contracts. As a nationally awarded suppliers, you can gain visibility and opportunities.","https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":21,""topic_type"":""user"",""topic_name"":""Efficiency and Risk Reduction in Public Purchasing"",""cosine_similarity"":0.589},{""slot_no"":19,""topic_type"":""user"",""topic_name"":""Myths and Misconceptions About Cooperative Purchasing"",""cosine_similarity"":0.499}]"
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=29366","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=29316","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,"[{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.536},{""slot_no"":1,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing Solutions for Public Safety Agencies"",""cosine_similarity"":0.504},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.434}]"
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=29416","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=29046","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=29271","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=29211","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/higher-education",,,,,,true,false,
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=29111","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=28986","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,"[{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.457},{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.455}]"
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=28946","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search?category=29416&keyword=",,,,,,true,false,
"Terms of use | Sourcewell","https://www.sourcewell-mn.gov/terms-use",,"https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":16,""topic_type"":""user"",""topic_name"":""Sustainability and Environmentally Responsible Purchasing Through Cooperative Contracts"",""cosine_similarity"":0.459}]"
"Accessibility | Sourcewell","https://www.sourcewell-mn.gov/accessibility",,"https://www.sourcewell-mn.gov/",,,,,,true,false,"[{""slot_no"":16,""topic_type"":""user"",""topic_name"":""Sustainability and Environmentally Responsible Purchasing Through Cooperative Contracts"",""cosine_similarity"":0.483}]"
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=28906","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=29146","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,
"Suppliers & Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing/contract-search-a-z",,"https://www.sourcewell-mn.gov/military",,,,,,true,false,"[{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.572},{""slot_no"":1,""topic_type"":""user"",""topic_name"":""Cooperative Purchasing Solutions for Public Safety Agencies"",""cosine_similarity"":0.478},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.472},{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.435}]"
"Search IDIQ Construction Procurement Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search","Search Sourcewell’s competitively solicited contracts with construction contractors. Filter by location (state and county), search by construction specialty, or view an A-Z list of all contractors.","https://www.sourcewell-mn.gov/cooperative-purchasing/how-it-works",,,,,,true,false,"[{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.651},{""slot_no"":15,""topic_type"":""user"",""topic_name"":""Construction Contracts and Facility Project Procurement"",""cosine_similarity"":0.633},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.523},{""slot_no"":7,""topic_type"":""user"",""topic_name"":""Supporting Local Governments with Scalable Procurement Solutions"",""cosine_similarity"":0.51},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.442},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.432}]"
"Search IDIQ Construction Procurement Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search?eziqc_category=General Contractor","Search Sourcewell’s competitively solicited contracts with construction contractors. Filter by location (state and county), search by construction specialty, or view an A-Z list of all contractors.","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search",,,,,,true,false,"[{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.679},{""slot_no"":15,""topic_type"":""user"",""topic_name"":""Construction Contracts and Facility Project Procurement"",""cosine_similarity"":0.656},{""slot_no"":7,""topic_type"":""user"",""topic_name"":""Supporting Local Governments with Scalable Procurement Solutions"",""cosine_similarity"":0.55},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.51},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.478},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.452}]"
"Search Sourcewell Awarded Contracts & Vendors | Sourcewell","https://www.sourcewell-mn.gov/contract-search?category=29181","Search Sourcewell’s competitively solicited contracts and awarded vendors. Filter by industry, search by keyword terms, or view an A-Z list of all vendors with Sourcewell awarded contracts.","https://www.sourcewell-mn.gov/contract-search",,,,,,true,false,
"Search IDIQ Construction Procurement Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search?eziqc_category=Mechanical / HVAC","Search Sourcewell’s competitively solicited contracts with construction contractors. Filter by location (state and county), search by construction specialty, or view an A-Z list of all contractors.","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search",,,,,,true,false,"[{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.552},{""slot_no"":15,""topic_type"":""user"",""topic_name"":""Construction Contracts and Facility Project Procurement"",""cosine_similarity"":0.509},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.48},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.414}]"
"Search IDIQ Construction Procurement Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search?eziqc_category=Electrical","Search Sourcewell’s competitively solicited contracts with construction contractors. Filter by location (state and county), search by construction specialty, or view an A-Z list of all contractors.","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search",,,,,,true,false,"[{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.627},{""slot_no"":15,""topic_type"":""user"",""topic_name"":""Construction Contracts and Facility Project Procurement"",""cosine_similarity"":0.575},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.525},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.483},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.439},{""slot_no"":23,""topic_type"":""user"",""topic_name"":""Risk, Benefit, and Insurance (RBI) Strategies in Cooperative Purchasing"",""cosine_similarity"":0.423}]"
"Search IDIQ Construction Procurement Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search?eziqc_category=Roofing / Waterproofing","Search Sourcewell’s competitively solicited contracts with construction contractors. Filter by location (state and county), search by construction specialty, or view an A-Z list of all contractors.","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search",,,,,,true,false,"[{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.638},{""slot_no"":15,""topic_type"":""user"",""topic_name"":""Construction Contracts and Facility Project Procurement"",""cosine_similarity"":0.635},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.531},{""slot_no"":7,""topic_type"":""user"",""topic_name"":""Supporting Local Governments with Scalable Procurement Solutions"",""cosine_similarity"":0.528},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.524},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.443}]"
"Search IDIQ Construction Procurement Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search?eziqc_category=Civil / Site Work / Civil Construction","Search Sourcewell’s competitively solicited contracts with construction contractors. Filter by location (state and county), search by construction specialty, or view an A-Z list of all contractors.","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search",,,,,,true,false,"[{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.703},{""slot_no"":15,""topic_type"":""user"",""topic_name"":""Construction Contracts and Facility Project Procurement"",""cosine_similarity"":0.689},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.541},{""slot_no"":7,""topic_type"":""user"",""topic_name"":""Supporting Local Governments with Scalable Procurement Solutions"",""cosine_similarity"":0.518},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.491},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.491},{""slot_no"":23,""topic_type"":""user"",""topic_name"":""Risk, Benefit, and Insurance (RBI) Strategies in Cooperative Purchasing"",""cosine_similarity"":0.422}]"
"Search IDIQ Construction Procurement Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search?eziqc_category=Plumbing","Search Sourcewell’s competitively solicited contracts with construction contractors. Filter by location (state and county), search by construction specialty, or view an A-Z list of all contractors.","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search",,,,,,true,false,"[{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.585},{""slot_no"":15,""topic_type"":""user"",""topic_name"":""Construction Contracts and Facility Project Procurement"",""cosine_similarity"":0.539},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.5},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.465},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.441}]"
"Search IDIQ Construction Procurement Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search?eziqc_category=Asphalt / Paving / Concrete","Search Sourcewell’s competitively solicited contracts with construction contractors. Filter by location (state and county), search by construction specialty, or view an A-Z list of all contractors.","https://www.sourcewell-mn.gov/cooperative-purchasing-eziqc/search?page=7",,,,,,true,false,"[{""slot_no"":9,""topic_type"":""user"",""topic_name"":""Infrastructure Modernization and Long-Term Capital Planning via Cooperative Purchasing"",""cosine_similarity"":0.671},{""slot_no"":15,""topic_type"":""user"",""topic_name"":""Construction Contracts and Facility Project Procurement"",""cosine_similarity"":0.594},{""slot_no"":7,""topic_type"":""user"",""topic_name"":""Supporting Local Governments with Scalable Procurement Solutions"",""cosine_similarity"":0.529},{""slot_no"":0,""topic_type"":""user"",""topic_name"":""Fire and Rescue Equipment Through Cooperative Contracts"",""cosine_similarity"":0.485},{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.434},{""slot_no"":4,""topic_type"":""user"",""topic_name"":""Disaster Preparedness, Response, and Recovery Through Cooperative Contracts"",""cosine_similarity"":0.412}]"
"Suppliers & Contracts | Sourcewell","https://www.sourcewell-mn.gov/cooperative-purchasing/contract-search-a-z/O",,"https://www.sourcewell-mn.gov/cooperative-purchasing/contract-search-a-z",,,,,,true,false,"[{""slot_no"":14,""topic_type"":""user"",""topic_name"":""The Future of Public Procurement: Innovation, Automation, and AI Readiness"",""cosine_similarity"":0.416}]"
